RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
41,Carina's Tofu-Vegetable Kebabs,1586,Cyclopz,PT20M,PT24H,PT24H20M,1999-09-03T14:54:00Z,This dish is best prepared a day in advance to allow the ingredients to soak in  the marinade overnight.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picmbLig8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/41/picL02w0s.jpg"")",Soy/Tofu,"c(""Beans"", ""Vegetable"", ""Low Cholesterol"", ""Weeknight"", ""Broil/Grill"", ""Oven"")","c(""12"", ""1"", ""2"", ""1"", ""10"", ""1"", ""3"", ""2"", ""2"", ""2"", ""1"", ""2"", ""1/2"", ""1/4"", ""4"")","c(""extra firm tofu"", ""eggplant"", ""zucchini"", ""mushrooms"", ""soy sauce"", ""low sodium soy sauce"", ""olive oil"", ""maple syrup"", ""honey"", ""red wine vinegar"", ""lemon juice"", ""garlic cloves"", ""mustard powder"", ""black pepper"")",4.5,2.0,536.1,24.0,3.8,0.0,1558.6,64.2,17.3,32.1,29.3,2.0,4 kebabs,"c(""Drain the tofu, carefully squeezing out excess water,  and pat dry with paper towels."", ""Cut tofu into one-inch squares."", ""Set aside.  Cut  eggplant lengthwise in half, then cut each half into approximately three strips."", ""Cut strips crosswise into one-inch cubes."", ""Slice zucchini into half-inch thick  slices."", ""Cut red pepper in half, removing stem and seeds, and cut each half into  one-inch squares."", ""Wipe mushrooms clean with a moist paper towel and remove  stems."", ""Thread tofu and vegetables on to barbecue skewers in alternating color  combinations: For example, first a piece of eggplant, then a slice of tofu, then zucchini, then red pepper, baby corn and mushrooms."", 
""Continue in this way until  all skewers are full."", ""Make the marinade by putting all ingredients in a  blender, and blend on high speed for about one minute until mixed."", ""Alternatively, put all ingredients in a glass jar, cover tightly with the lid  and shake well until mixed."", ""Lay the kebabs in a long, shallow baking pan or on  a non-metal tray, making sure they lie flat. Evenly pour the marinade over the  kebabs, turning them once so that the tofu and vegetables are coated."", ""Refrigerate the kebabs for three to eight hours, occasionally spooning the  marinade over them."", 
""Broil or grill the kebabs at 450 F for 15-20 minutes, or on the grill, until the vegetables are browned."", ""Suggestions  This meal can be served over cooked, brown rice. Amounts can easily be doubled to make four servings."")"
318350,Margarita Chicken Pasta Salad,411567,Lakerdog2,PT15M,PT10M,PT25M,2008-08-08T02:20:00Z,Make and share this Margarita Chicken Pasta Salad recipe from Food.com.,character(0),Chicken,"c(""Poultry"", ""Meat"", ""< 30 Mins"")","c(""10"", ""1"", ""1"", ""1"", ""1"", NA, ""1"", ""1/2"", ""1/4"", ""1/4"", ""3"", ""1"", ""1/4"", ""1/8"", ""4"", ""1"", ""1"")","c(""tri-color spiral pasta"", ""chicken breast"", ""olive oil"", ""bell pepper"", ""black beans"", ""olive oil"", ""sour cream"", ""fresh lime juice"", ""sugar"", ""cumin"", ""salt"", ""fresh cilantro leaves"", ""green chilies"")",5.0,1.0,563.4,21.8,5.1,52.6,109.1,64.5,7.7,4.5,29.1,6.0,6 cups,"c(""Cook rotini to desired doneness as directed on package. Drain. Rinse with cold water to cool; drain well."", ""Meanwhile, in resealable food storage plastic bag, combine chicken and taco seasoning mix; shake to coat."", ""Heat 1 tablespoon oil in large nonstick skillet over medium heat until hot. Add chicken; cook 8 to 10 minutes or until golden brown and no longer pink in center, stirring frequently. Remove from heat; set aside."", ""In blender container or food processor bowl with metal blade, combine all dressing ingredients; blend 30 seconds or until well blended."", 
""In large serving bowl, combine cooked rotini, corn, beans and dressing; toss to coat. Fold in cooked chicken."", ""Serve warm or cold. If desired, garnish with lime wedge and cilantro leaves."")"
109185,Kelly's Beef Stew,184081,Kellogs,PT3H,PT15M,PT3H15M,2005-01-23T19:59:00Z,Don't be put off by the ingredient list. This really is an easy dish (particularly for those with crockpots) which you can freely substitute on with whatever you have on hand. (Made all the more tasty if you add 1/2 cup of Bisto gravy granuals along with the Oxo.),character(0),Stew,"c(""Meat"", ""European"", ""Winter"", ""< 4 Hours"", ""Easy"")","c(""1 1/2"", ""1"", ""3"", ""3"", ""1"", ""1"", ""1"", ""1/2"", ""1"", ""3"", ""2"", ""1"", ""1"", ""1"", ""2"", ""2"", ""1/8"", ""1/8"", ""1/8"", ""1/8"")","c(""stewing beef"", ""potatoes"", ""beef bouillon cubes"", ""green beans"", ""Worcestershire sauce"", ""lime juice"", ""flour"", ""tomato puree"", ""salt"", ""pepper"", ""Spanish onion"", ""spring onion"", ""celery"", ""carrots"", ""garlic powder"", ""dried basil"", ""oregano"", ""rosemary"")",5.0,1.0,585.5,25.1,9.4,76.5,3226.4,61.7,8.0,6.4,28.8,6.0,4-6 people,"c(""Dredge stew beef in flour, salt and pepper (ideally use ziplog bag and shake)."", ""Heat oil in large pan, add meat and a handful of the onions."", ""Whilst meat is browning, add lime juice and stir."", ""When brown all over (about ten mins) add enough water to cover and stir."", ""Bring to boil."", ""Add the Oxo/beef bouillon cubes, Worcestershire sauce, all veggies (excluding carrots, corn, green beans and potatoes) and Lipton onion soup and dip mix."", ""Cover and simmer for 1 hr and 30 minutes."", ""Add potatoes, carrots and tomato puree and continue the simmer a further 40 minutes."", 
""Add 1 tbsp of flour, mix and let sit for a few minutes to thicken if needed."", ""If not to desired thickness add more flour."", ""Once thickened, return to heat and add green beans."", ""Heat through and serve (good with biscuits!)."")"
344763,Guajillo-Spiked Pork-And-Potato Tacos,324390,cookiedog,PT1H30M,PT30M,PT2H,2008-12-23T00:19:00Z,"Mexican comfort food good enough to serve guests. You can even make it the day before and reheat it right before serving adding a little water if needed. This has a mild taco filling - if you like your tacos with some heat, use some New Mexico chiles in place of some of the Guajillos.
Adapted from Mexico: One Plate At A Time, by Rick Bayless","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/34/47/63/picPcfsBl.jpg""",Stew,"c(""Pork"", ""Meat"", ""Mexican"", ""Winter"", ""Stove Top"", ""< 4 Hours"")","c(""8 -10"", NA, ""4 -6"", ""3"", ""1 1/2"", ""1  - 1 1/2"", ""3"", ""1"", ""4"", ""3"", ""12 -16"")","c(""water"", ""plum tomatoes"", ""garlic cloves"", ""water"", ""salt"", ""boiling potatoes"", ""fresh cilantro"", ""corn tortillas"")",5.0,1.0,587.5,25.2,7.2,74.8,695.8,62.9,7.8,3.5,28.6,4.0,12-16 tacos,"c(""To make the chili sauce, in a dry heavy fry pan over medium heat, toast the chilies a few pieces at a time, pressing them flat against the hot surface with a metal spatula, until they are aromatic, about 10 seconds per side. (If the heat is right, you’ll hear a slight crackle when you press them down, but you shouldn’t see more than the slightest wisp of smoke; the inside surface of the chili should look noticeably lighter.) Transfer to a bowl and add hot tap water to cover. Place a small plate on the top to keep the chilies submerged and let stand for 20 minutes."", 
""Using tongs, transfer the chilies to a food processor or blender. Add the water, tomatoes and garlic and process to form a smooth puree. Set aside."", ""To make the filling, in a 4-quart saucepan over medium-high heat, warm the oil. When the oil is hot, add the pork in a single layer (in batches, if necessary) and cook, turning, until richly browned all over, about 10 minutes. As the pork is browned, transfer it to a plate. When all of the pork is browned, return it to the saucepan."", ""Push the chili-tomato puree through a medium-mesh sieve directly into the pan and cook, stirring frequently, until the saucy mixture is as thick as tomato paste, 6 to 8 minutes. Stir in the water and the 1 teaspoons salt, cover partially and bring to a simmer. Reduce the heat to medium-low and simmer, stirring frequently, for 20 minutes."", 
""Add the potatoes, cover partially and cook, stirring frequently, until the potatoes and meat are tender but not falling apart and the sauce has thickened to the consistency of canned tomato sauce, 20 to 30 minutes more. If the sauce is too thin, continue cooking, uncovered, until thickened. Taste and adjust the seasonings with salt."", ""Scoop the hot pork-and-potato mixture into a serving bowl and sprinkle with the cilantro. Serve with the warm tortillas alongside."")"
189973,Cheesy Chicken Penne,304222,Gods_sugarcookie,PT20M,PT20M,PT40M,2006-10-10T13:41:00Z,"This warm, yummy, Italian-lover dish came about when my cousin asked my mom, &quot;Can we have something with cheese and pasta in it?&quot; Yeah mom!","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/18/99/73/picxvvLsm.jpg""",One Dish Meal,"c(""Penne"", ""Cheese"", ""European"", ""Kid Friendly"", ""Winter"", ""< 60 Mins"", ""Inexpensive"")","c(""1"", ""4"", ""1"", ""2"", ""1"", ""1/4"", ""1/2"", ""1 1/2 - 2"", ""1"")","c(""penne"", ""boneless chicken breasts"", ""olive oil"", ""garlic"", ""fresh basil"", ""onion"", ""mozzarella cheese"", ""cheddar cheese"")",5.0,1.0,542.9,21.4,8.4,77.8,755.8,58.4,6.9,9.8,29.7,8.0,8 squares,"c(""Fill a large pot with water and cook penne according to directions on box."", ""Meanwhile, chop the thawed chicken into bite-size strips. Set aside."", ""When the penne is done, drain and set aside; heat the pot with the olive oil and let the oil get really hot."", ""Add just under 1 TBSP of fresh minced garlic and add basil and onion. Stir around a bit and add the chicken. Sprinkle with salt and then sprinkle a lot of garlic salt. Add a little ground black pepper."", ""Stir fry until chicken is no longer pink, around 5 minutes; do not overcook, as the chicken will get tough!"", 
""Spoon the chicken into the bottom of a casserole dish that has been sprayed with non-stick cooking spray; glass looks really pretty. Spread penne evenly over that."", ""Pour marinara sauce over all and sprinkle mozzarella cheese over that. Sprinkle the cheddar cheese over everything, it should just be a thin layer."", ""Bake at 300°F until cheese melts, about 9-15 minutes."")"
43,Best Blackbottom Pie,34879,Barefoot Beachcomber,PT2H,PT20M,PT2H20M,1999-08-21T10:35:00Z,Make and share this Best Blackbottom Pie recipe from Food.com.,character(0),Pie,"c(""Dessert"", ""Weeknight"", ""Stove Top"", ""< 4 Hours"")","c(""1 1/4"", ""1/4"", ""6"", ""1/3"", ""1/4"", ""1/4"", ""2"", ""3"", ""1"", ""1"", ""1/4"", ""1"", ""2"", ""3"", ""1/4"", ""1/2"", NA)","c(""graham cracker crumbs"", ""sugar"", ""butter"", ""sugar"", ""cornstarch"", ""salt"", ""milk"", ""vanilla extract"", ""water"", ""gelatin"", ""rum"", ""cream of tartar"", ""sugar"")",1.0,1.0,437.9,19.3,10.9,94.3,267.6,58.0,1.8,42.5,7.0,8.0,1 9-inch pie,"c(""Graham Cracker Crust: In small bowl, combine graham cracker crumbs, sugar   and butter.  Press evenly on bottom and sides of 9-inch pie plate. Chill   until firm (about 1 hour)."", ""Chocolate Layer: In medium saucepan, combine sugar, cornstarch and salt.   Gradually stir in milk.  Cook over medium heat, stirring constantly, until   mixture boils.  Remove from heat. In small bowl, beat egg yolks. Gradually   stir in small amount of hot mixture; return to saucepan. Cook over low   heat, stirring constantly, for 2 minutes. Remove from heat."", 
""Remove 1-1/2   cups custard to medium bowl; add  semi-sweet chocolate   morsels and vanilla extract. Stir until morsels are melted and mixture is   smooth."", ""Pour into prepared Graham Cracker Crust; chill until set (about 30   minutes)."", ""While Chocolate Layer is chilling, prepare Vanilla Layer."", ""Vanilla Layer: In large bowl, combine cold water and gelatin; let stand 5   minutes.  Add remaining warm custard; stir until gelatin dissolves.  Cool 15   minutes.  Stir in rum; beat with wire whisk until smooth. Set aside."", 
""In   1-1/2 quart bowl, combine egg whites and cream of tartar; beat until foamy.  Gradually add sugar; beat until stiff peaks form.  Fold egg whites into   custard; pour over chocolate layer."", ""Chill until set (about 2 hours)."", ""Garnish with whipped cream and chocolate shavings, if desired."", ""Makes one   9-inch pie."")"
443414,Lebanese Spiced Potatoes (Batata Harra),593927,UmmBinat,PT18M,PT10M,PT28M,2010-12-02T16:30:00Z,"Similar to the flavourful potatoes you can purchase in Lebanese restaurants throughout Ottawa, Canada. This goes really well with recipe#44858 marinated chicken breast, Recipe #409286, and a garlic sauce like, recipe#108234 without the cilantro and a little Balkan yogurt to lighten it up, along with, recipe#254171, for a meal like the restaurants only way better! Recipe modified from a recipe found on http://homemade-recipes.blogspot.com","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/34/14/pic6cqe1T.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/34/14/pic9XSBuv.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/34/14/pictNhsQ0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/44/34/14/picsdG4aD.jpg"")",Potato,"c(""Vegetable"", ""Lebanese"", ""Southwest Asia (middle East)"", ""Lactose Free"", ""Free Of..."", ""Spicy"", ""Ramadan"", ""Savory"", ""< 30 Mins"", ""Easy"", ""From Scratch"")","c(NA, ""3"", ""2"", ""1"", ""1"", ""1/2"", ""1/8 - 1/4"", NA, NA, ""3"", ""1/2"")","c(""canola oil"", ""potatoes"", ""cooking onions"", ""garlic"", ""cayenne pepper"", ""fresh cilantro"", ""ground coriander"", ""fresh ground black pepper"", ""sea salt"", ""olive oil"", ""lime juice"")",5.0,12.0,432.6,20.6,2.9,0.0,22.1,57.5,7.4,3.0,6.8,2.0,2,"c(""Heat canola oil and fry medium size cubed potatoes until crisp."", ""Remove onto a paper towel lined plate."", ""In another pan heat olive oil and add finely chopped onion, minced garlic, cayenne, ground coriander and finely chopped cilantro, saute then add the potatoes sea salt and freshly ground black pepper to taste."", ""Mix well and add lime juice."", ""Serve Immediately with garlic sauce such as recipe#108234 without the fresh cilantro added."", ""Enjoy!"")"
337201,Heather Kirkwood's Favorite Pineapple Stuffing,346383,senseicheryl,PT1H,PT10M,PT1H10M,2008-11-14T18:15:00Z,This recipe was contributed by Heather Kirkwood and Coleen Leszczynski just in time for the Thanksgiving holiday.  This is an old family recipe that they really enjoy and wanted to share with everyone.  :-),character(0),Pineapple,"c(""Grains"", ""Tropical Fruits"", ""Fruit"", ""Potluck"", ""Thanksgiving"", ""Savory"", ""Oven"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"")","c(""1"", ""2"", ""1 1/2"", ""8"", ""2"", ""10"", ""1"")","c(""margarine"", ""sugar"", ""vanilla"", ""eggs"", ""crushed pineapple"", ""cinnamon"")",5.0,1.0,427.3,19.2,3.8,141.0,366.9,59.4,1.4,48.2,6.4,12.0,12 servings or so,"c(""Preheat oven to 350 degrees."", ""Grease a large roasting pan."", ""Cream together margarine, sugar and vanilla."", ""Blend in the eggs, one at a time."", ""Add pineapple and bread cubes and stir well with a large spoon."", ""Please mixture in roasting pan for 1 hour or until bubbly."", ""Sprinkle with cinnamon."")"
241601,Grammy Nell's Banana Nut Bread,538011,Aimchick,PT1M,PT20M,PT21M,2007-07-20T14:58:00Z,"This is my grandmother’s banana bread recipe, but I have changed it a bit to fit MY tastes.  It can also be made in muffin tins, but it’s a 2 loaf recipe, so it makes LOTS of muffins.  I am highly allergic to walnuts so I am always looking for recipes with pecans.  This is a winner. I keep a bag of pecans in the freezer so I always have them on hand and the freezer keeps them fresh.  The recipe calls for sour milk.  I have substituted this a few different ways and they have been fine.  Try using &frac14; cup fat free half and half and &frac14; cup fat free sour cream or plain yogurt.  I did some research and the traditional substitute for sour milk is evaporated milk and vinegar, but that sounds gross to me.",character(0),Quick Breads,"c(""Breads"", ""< 30 Mins"", ""Easy"")","c(""1"", ""1/2"", ""2"", ""4"", ""2 1/2"", ""1"", ""1"", ""1"", ""1/2"", ""1"", ""1"")","c(""sugar"", ""eggs"", ""bananas"", ""flour"", ""baking soda"", ""baking powder"", ""salt"", ""pumpkin pie spice"", ""pecans"")",5.0,1.0,434.1,20.6,2.7,43.5,414.9,58.6,3.3,27.9,6.5,10.0,2 loaves,"c(""Grease and flour 2 bread pans."", ""Preheat oven to 375°."", ""Combine all ingredients in a large mixing bowl."", ""Transfer batter into pans."", ""Bake 1 hour."", ""Check center with toothpick to determined doneness."", ""Makes 2 large loaves."")"
252295,Brown Sugar Pie (Crazy Pie),583156,Chef Aint Bs,PT50M,PT5M,PT55M,2007-09-11T21:13:00Z,"Sugar Milk Pies were called miliche flitche, or &quot;poor man's pie,&quot; because of there simplicity of their ingredients. Mix this one up in the pie pan!",character(0),Pie,"c(""Dessert"", ""< 60 Mins"", ""Beginner Cook"", ""Easy"")","c(""1"", ""1/8"", ""1"", ""1"", ""2 1/2"", ""3"", ""1/4"")","c(""salt"", ""evaporated milk"", ""brown sugar"", ""butter"", ""all-purpose flour"", ""cinnamon"")",1.0,1.0,422.2,19.1,8.1,29.2,312.9,58.0,1.2,35.3,6.2,6.0,1 Pie,"c(""Preheat oven to 350°F."", ""In the pie shell, place sugar, flour and salt."", ""Mix with your fingers."", ""Pour the evaporated milk over the flour and sugar BUT NO NOT STIR."", ""Bake for 50 minutes, or until filling just bubbles up in middle."", ""The filling will never completely set, but that's the way it's supposed to be. Pie better eaten at room temperature."", ""NOTE: Recipe can be doubled and prepared in a 10\"" inch pie shell. For that size, bake 1 hour and 20 minutes."", ""(Yield: 12 serving)."")"
54,Carrot Cake,1535,Marg CaymanDesigns,PT50M,PT45M,PT1H35M,1999-09-13T15:20:00Z,This is one of the few recipes my husband every requested from a coworker and brought home for me to make.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picQ2X4D8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/pic3oloIV.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/54/picf0dw0o.jpg"")",Dessert,"c(""Vegetable"", ""Weeknight"", ""Oven"", ""< 4 Hours"")","c(""3"", ""4"", ""1 1/4"", ""2"", ""2"", ""2"", ""2"", ""1"", ""1"", ""1/2"", ""1"", ""1 1/4"", ""1"", ""1"", ""1/2"")","c(""carrots"", ""eggs"", ""white sugar"", ""all-purpose flour"", ""baking powder"", ""baking soda"", ""cinnamon"", ""salt"", ""nutmeg"", ""golden raisin"", ""confectioners' sugar"", ""cream cheese"", ""light corn syrup"", ""vanilla extract"")",5.0,17.0,522.6,27.1,4.9,69.8,534.8,67.0,1.6,47.9,5.0,12.0,1 bundt,"c(""Beat together the eggs, oil, and white sugar. Blend mixture for thirty seconds."", ""Sift together flour, baking powder, baking soda, salt and spices. Add the  carrots and raisins."", ""Pour egg mixture into dry ingredients, and mix well. Pour  batter into well greased 10 inch tube or Bundt pan."", ""Bake at 350 degrees F (175  degrees C) oven for 45 to 50 minutes. Cool cake on wire rack, and then  refrigerate until completely cooled."", ""To make Cream Cheese Glaze: Blend together  confectioners' sugar, cream cheese, corn syrup, and vanilla. Spread over cooled  cake.""
)"
147866,The Best Easy to Make Dump Cake,271543,Suchint Sethi,PT55M,PT25M,PT1H20M,2005-12-09T16:16:00Z,Make and share this The Best Easy to Make Dump Cake recipe from Food.com.,character(0),Dessert,"c(""< 4 Hours"", ""Easy"")","c(""1"", ""1"", ""4"", ""2/3"", ""2/3"", ""1/3"", ""1"", ""1"")","c(""instant chocolate pudding mix"", ""eggs"", ""white sugar"", ""water"", ""sour cream"")",4.0,1.0,523.1,27.4,8.0,80.1,517.8,66.8,1.8,44.8,5.5,12.0,1 BUNDT PAN,"c(""Preheat oven to 350 degrees F (175 degrees C). Grease and flour a Bundt pan."", ""In a bowl, mix the yellow cake mix, pudding mix, eggs, vegetable oil, sugar, and water. Gently fold in the sour cream and chocolate chips. Pour batter into the prepared Bundt pan."", ""Bake in the preheated oven for 55 minutes. Cool in pan for 10 minutes before transferring to cooling racks."")"
