RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
495166,Sigara Bouregi/Bourek Turkish Cheese Cigars,1375473,the80srule,PT15M,PT20M,PT35M,2013-02-11T00:14:00Z,"From Delicious Istanbul. I loooove these and always go ape at my favorite Turkish joints getting these and eating them with yummy red lentil soup...this home version really isn't as difficult as I thought it'd be! And I like that they're baked, not fried; I can even whip up a small batch in my toaster! I didn't include time to thaw out your phyllo, as I usually get impatient and just leave it sitting next to the toaster or other warm device and let it speed up the thawing. Soft white cheese like Israeli or Bulgarian feta (which is different from actual feta) is also good for this. A little fresh dill is also awesome in these.",character(0),Cheese,"c(""Turkish"", ""Southwest Asia (middle East)"", ""< 60 Mins"", ""From Scratch"")","c(""3"", ""2/3"", ""1"", ""2"", ""1/8"", NA, NA, ""2"")","c(""phyllo pastry sheets"", ""feta cheese"", ""egg"", ""flat leaf parsley"", ""sea salt"", ""pepper"", ""water"", ""olive oil"")",5.0,1.0,62.3,4.7,1.8,22.9,146.5,2.9,0.1,0.4,2.1,12.0,12 cigars,"c(""Prepare the filling by mixing the cheese, parsley, half the egg, salt, and pepper. You can do this with a hand mixer or food processor/blender, or a fork if you want to give your arms a good workout. Set aside into a bowl."", ""Lay the 3 phyllo sheets down on top of each other on a clean surface. With a knife (or ease, a pizza cutter) slice them vertically down the middle to get 2 long, even rectangles. Slice each rectangle diagonally to get 12 even, thin triangles."", ""Take one phyllo triangle and place it so that its shorter side is closer to you and place a table spoon of filling along the opposite end of the triangle (not the pointy part facing you.)."", 
""Tuck the bottom of the triangle over the filling then roll up into a thin cigar (you'll be flattening it a little.) Wet the pointy tip of the triangle with water for sealing and place on a baking sheet coated in foil or parchment paper."", ""Repeat this until you have no more filling or phyllo left; should have 12 \""cigars\""."", ""Brush each cigar completely with half the egg, then the olive oil. To make sure the bottoms cook, I prefer to line my casserole pan with foil and put some of this egg-olive oil mixture all over the foil."", 
""Bake at 450F for 12-15 minutes or until golden-brown. Goes great with red lentil soup!"")"
473413,Baklava - Orange/Pomegranate Honey Syrup,789136,BekaWild,PT1H,PT1H,PT2H,2012-02-02T08:34:00Z,"Don&rsquo;t let the complex instruction fool you&hellip; it IS simple, it&rsquo;s just hard to find detailed directions. It&rsquo;s really not a &ldquo;science&rdquo; like baking and pastry is, so fee free to play around a little! The important part is that you have everything prepared before you start to assemble with the dough, it can be finicky, but totally do-able! 

My mother in law is a purist and makes Baklava with only walnuts, sugar, and Karo syrup (and dough of course!). I wanted to experiment with a more complex palate and this is what I came up with! 

From researching recipes, it looks like Baklava is holy to some people:
&ldquo;ONLY butter!&rdquo;, &ldquo;ONLY rosewater!&rdquo;, &ldquo;ONLY walnuts/pistachios/etc.!&rdquo; &ndash; Ummm&hellip; calm down. It&rsquo;s ONLY a dessert!  This is a recipe that I made by combining what looked best to me and what felt right at the time. It came out WONDERFULLY so I wanted to let you know what I did&hellip;","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/34/13/picaWmo9F.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/47/34/13/picO5zbdL.jpg"")",Breakfast,"c(""Dessert"", ""Nuts"", ""Lebanese"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""European"", ""For Large Groups"", ""< 4 Hours"")","c(""1"", ""1/4"", ""1/4"", ""1/4"", ""1"", ""1"", ""1"", ""1/4"", ""1"", ""1"", ""10"", ""2"", ""4"", ""2"", ""1"", ""1"", ""1/2"")","c(""sugar"", ""water"", ""pomegranate syrup"", ""orange"", ""cinnamon stick"", ""honey"", ""water"", ""phyllo dough"", ""butter"", ""pistachios"", ""pecans"", ""cinnamon"", ""sugar"", ""ground cloves"", ""cayenne pepper"")",5.0,1.0,318.6,18.5,6.2,20.3,177.0,36.2,2.6,22.5,5.2,24.0,48 peices,"c(""SYRUP: On Med-High heat add Sugar, 1/4 Cup of Water, Pomegranate syrup, orange juice, zest, and cinnamon stick in to a high sided sauce pan. Dissolve sugar and bring to light boil."", ""Immediately add Honey and reduce to simmer (on low, or low-medium) for 10-20min. It will bubble up, but keep an eye on it. It should not get out of control if the fire isn’t too high. Better a lower heat than a higher heat."", ""Remove from heat, as in turn burner off and remove from burner too."", ""Drip a few drops of syrup on counter/plate as it cooks and after it is removed from the heat. If it hardens when it cools (think REALLY sticky caramel), add reserved water until drops tests shows syrup can cool and be easily spread on the plate. Do NOT return to the heat before you add water!"", 
""If the syrup then gets too watery, put it back and the stove until it’s right!"", ""Strain into bowl – set aside to cool before pouring onto hot baklava."", ""Note: By using honey you get the best flavor, but also the added benefit of stabilization – this syrup is hard to mess up unless you burn it! If you own a candy thermometer, try to keep it under the “thead” stage, or 230F – if you go over, thin it out with water AFTER you remove it from the heat."", ""BUTTER: Clarify butter over low to med-low heat until all water has boiled away."", 
""Remove from heat and skim off milk solids. Set aside."", ""You may “brown” butter slightly for added flavor (I do)."", ""Melt shortening if you run out of butter towards the end of the assembly process.  The point is to dry the butter out (because it is 8% water), but shortening has far less to start – it won’t kill anything to use butter flavored shorting either, it’s a matter of opinion. Remember:  Butter = better flavor. Shortening = better texture."", ""FILLING: Pulse all Filling ingredients in food processor until largest pieces are no bigger than a pea – but not until all is powder."", 
""ASSEMBLY: Heat oven to 400°F."", ""Prepare your pan (9x13 is great) with either parchment paper and/ butter or spray."", ""Unwrap Phyllo and cut to the size of your pan (this makes it WAY easier!)."", ""Layer 10 sheets of Phyllo in this order: Butter, Phyllo, butter, Phyllo, butter, etc."", ""Add 1/3 of nuts, another 6 layers of Phyllo then butter."", ""Add 1/3 of nuts, another 6 layers of Phyllo then butter."", ""Add 1/3 of nuts, then the last 8 layers of layers of Phyllo then remaining butter."", ""I like to spoon on the butter first and then spread it with the brush, always working from the inside out. If a sheet breaks, just patch it up. If the Phyllo is too small, overlap another piece to form one layer – no stress!"", 
""Cut baklava into pieces using a slim, sharp, smooth edged knife (e.g. boning or paring knife)."", ""In my 9”x13” I get 48 pieces by cutting the pan in 4 pieces lengthwise, then 6 pieces widthwise, then each square diagonally. Make sure to cut with a pulling motion in order to cut smoothly (no STABBING), this may mean stopping to turn the pan around."", ""Bake in 400F degree oven for 15min, reduce heat to 300F and bake for another 40-55min, checking to make sure it only turns a pale brown."", ""IMMEDIATELY after removing baklava from oven - while baklava is hot- ladle the syrup over the top. It will sputter but that is a good thing. Make sure to get in between all of the crevices and cuts."", 
""Let Baklava cool at least until room temperature before serving. Better yet, after it is room temperature (2-3 hours) cover it (yes, cover) and let it sit until you can’t wait any longer (at least 8hrs)… serve!"", ""Store in air tight (yes, covered) container for up to 5 days.  Some people think that covering it will make it go soggy. The truth is that air carries moisture and the longer something sits out in the air, the more moisture it attracts – especially SWEETS because sugar and honey absorbed tons of moisture. The less air is sees, the better – until service that is!""
)"
387438,Turkish Yogurt With Saut&eacute;ed Dried Fruits and Nuts,593927,UmmBinat,PT15M,PT2H15M,PT2H30M,2009-08-27T02:58:00Z,"POSTED FOR RAMADAN TAG This popular mid-Anatolian family dessert is made with yogurt and walnuts and whatever else is at hand. Musa has embellished it by saut&eacute;eing walnuts, hazelnuts and dried mulberries or sour cherries in a French-inspired browned butter, but he still respects the recipe's homey quality. Recipe by Musa Dagdeviren on http://www.foodandwine.com NOTE: Grape molasses is available at Middle Eastern markets.",character(0),Dessert,"c(""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Egg Free"", ""Free Of..."", ""Summer"", ""Ramadan"", ""Sweet"", ""< 4 Hours"")","c(""3"", ""5"", ""1/2"", ""3"", ""3"", ""1"", ""1"", ""1"", ""3"", ""3"", ""1"", ""1"")","c(""yogurt"", ""unsalted butter"", ""walnuts"", ""sour cherries"", ""raisins"", ""hazelnuts"", ""pine nuts"", ""tahini"", ""molasses"", ""cinnamon"", ""pistachios"")",5.0,1.0,343.8,26.7,10.0,41.4,68.1,21.5,2.0,14.7,8.3,6.0,6 glasses,"c(""Spoon half of the yogurt into 6 heatproof glasses."", ""In a large skillet, melt 3 tablespoons of the butter."", ""Add the walnuts, mulberries, raisins, hazelnuts, almonds and pine nuts and sauté over moderately high heat, shaking the pan, until the butter is sizzling and beginning to brown around the edges."", ""Stir in the tahini and 2 tablespoons of the molasses."", ""Spoon the mixture into the glasses; top with the remaining yogurt."", ""Melt the remaining butter in the skillet. Stir in the remaining molasses and the cinnamon; drizzle over the yogurt."", 
""Sprinkle on the pistachios and serve."")"
307295,"The Traditional Cyprus Sandwich With Halloumi, Onions and Tomato",242729,French Tart,PT5M,PT5M,PT10M,2008-06-04T22:41:00Z,"I first had one of these wonderful sandwiches just after I had moved to Cyprus; I remember sitting in an old, rundown taverna with a chilled Keo beer, whilst gazing out towards the deep blue Mediterranean Sea! Bliss! They are usually made in long, fat finger rolls, similar to hoagies or sub rolls, but you can also make them with pitta bread or other shapes of bread rolls. Halloumi is a traditional Cypriot cheese, which is still made locally by lots of Cypriot ladies - you often see the cheeses &quot;hanging out to dry&quot; in old, but hopefully clean (?) tights or stockings! Halloumi is an extremely good cheese for cooking, it maintains its shape and becomes toasty and slightly salty when fried or grilled. You can buy packs of good quality Cypriot Halloumi cheese in most supermarkets or in a delicatessen. It can last for up to ONE year when bought in a vacuum-sealed pack! Halloumi is the Greek Cypriot name for this cheese, the Turkish Cypriots call it Hellim - it is the same cheese however, and the best cheese is made with 100% sheep’s milk. You will find these sandwiches all over Cyprus in different guises, this is my favourite combination.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/picbv0j5I.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/piceTmZ54.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/piclVOQWR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/picDAXVXU.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/piccyw3LO.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/pic0kzuNO.jpg"")",Lunch/Snacks,"c(""Cheese"", ""Onions"", ""Vegetable"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""Asian"", ""European"", ""Kid Friendly"", ""Brunch"", ""Broil/Grill"", ""< 15 Mins"", ""Oven"", ""Easy"")","c(""1"", ""4"", ""1"", ""1/4"", ""1/2"", ""1/4"", NA, NA, NA)","c(""halloumi cheese"", ""olive oil"", ""onion"", ""fresh tomato"", ""fresh lemon"", ""oregano leaves"", ""lettuce leaf"", ""black olives"")",5.0,16.0,313.7,16.2,2.2,0.0,316.0,36.1,2.9,4.6,6.8,1.0,1 Cyprus Sandwich,"c(""Put 2 teaspoons of the olive oil into a frying pan and cook the onions over a medium heat until soft and slightly coloured, set aside."", ""Put the remaining 1 teaspoon of oil into the frying pan and fry the halloumi slices over a medium to high heat on both sides, until golden brown and crispy around the edges."", ""Cut the roll in half, and place the halloumi slices on one half and then squeeze the lemon juice over the cooked cheese slices. Sprinkle a few oregano leaves over the cheese before adding the sliced tomatoes and cooked onions."", 
""Place the other half of the roll on top of the cheese and the filling. Gently press the two halves together."", ""Put the filled roll into a pre-heated griddle, Panini, George Foreman or sandwich grill for about 2 minutes, or until the bread roll is crisp and golden brown."", ""Serve immediately with fresh lettuce leaves and a handful of black olives -- and don't forget the ice cold Keo or Efes beer!"")"
314724,Potato Borek,827027,Schweik,PT45M,PT20M,PT1H5M,2008-07-20T02:59:00Z,Make and share this Potato Borek recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/47/24/picv1T6gA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/31/47/24/picyBkUB2.jpg"")",Potato,"c(""Vegetable"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Beginner Cook"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""3/4"", ""1"", ""3"", ""4 1/2"", ""3"", ""3/4"", ""3/4"", ""1"", ""1/4"", ""2 1/2"", ""2 1/2"")","c(""plain yogurt"", ""eggs"", ""russet potatoes"", ""onions"", ""carrot"", ""cumin"", ""cayenne pepper"", ""salt"", ""all-purpose flour"")",5.0,1.0,315.4,15.9,2.7,49.1,532.0,36.5,3.2,4.0,7.1,12.0,1 dish,"c(""Grease and lightly flour a 13 X 9 inch baking dish. Preheat oven to 400 degrees."", ""In a large bowl, combine the sunflower oil, yogurt, and eggs. Add the vegetables and spices. Slowly add the flour and mix until combined. Spread in the prepared pan."", ""Bake for 40 to 45 minutes, until top browns. Remove from oven and serve warm for breakfast, as a snack or as a side dish."")"
307295,"The Traditional Cyprus Sandwich With Halloumi, Onions and Tomato",242729,French Tart,PT5M,PT5M,PT10M,2008-06-04T22:41:00Z,"I first had one of these wonderful sandwiches just after I had moved to Cyprus; I remember sitting in an old, rundown taverna with a chilled Keo beer, whilst gazing out towards the deep blue Mediterranean Sea! Bliss! They are usually made in long, fat finger rolls, similar to hoagies or sub rolls, but you can also make them with pitta bread or other shapes of bread rolls. Halloumi is a traditional Cypriot cheese, which is still made locally by lots of Cypriot ladies - you often see the cheeses &quot;hanging out to dry&quot; in old, but hopefully clean (?) tights or stockings! Halloumi is an extremely good cheese for cooking, it maintains its shape and becomes toasty and slightly salty when fried or grilled. You can buy packs of good quality Cypriot Halloumi cheese in most supermarkets or in a delicatessen. It can last for up to ONE year when bought in a vacuum-sealed pack! Halloumi is the Greek Cypriot name for this cheese, the Turkish Cypriots call it Hellim - it is the same cheese however, and the best cheese is made with 100% sheep’s milk. You will find these sandwiches all over Cyprus in different guises, this is my favourite combination.","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/picbv0j5I.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/piceTmZ54.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/piclVOQWR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/picDAXVXU.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/piccyw3LO.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/30/72/95/pic0kzuNO.jpg"")",Lunch/Snacks,"c(""Cheese"", ""Onions"", ""Vegetable"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""Asian"", ""European"", ""Kid Friendly"", ""Brunch"", ""Broil/Grill"", ""< 15 Mins"", ""Oven"", ""Easy"")","c(""1"", ""4"", ""1"", ""1/4"", ""1/2"", ""1/4"", NA, NA, NA)","c(""halloumi cheese"", ""olive oil"", ""onion"", ""fresh tomato"", ""fresh lemon"", ""oregano leaves"", ""lettuce leaf"", ""black olives"")",5.0,16.0,313.7,16.2,2.2,0.0,316.0,36.1,2.9,4.6,6.8,1.0,1 Cyprus Sandwich,"c(""Put 2 teaspoons of the olive oil into a frying pan and cook the onions over a medium heat until soft and slightly coloured, set aside."", ""Put the remaining 1 teaspoon of oil into the frying pan and fry the halloumi slices over a medium to high heat on both sides, until golden brown and crispy around the edges."", ""Cut the roll in half, and place the halloumi slices on one half and then squeeze the lemon juice over the cooked cheese slices. Sprinkle a few oregano leaves over the cheese before adding the sliced tomatoes and cooked onions."", 
""Place the other half of the roll on top of the cheese and the filling. Gently press the two halves together."", ""Put the filled roll into a pre-heated griddle, Panini, George Foreman or sandwich grill for about 2 minutes, or until the bread roll is crisp and golden brown."", ""Serve immediately with fresh lettuce leaves and a handful of black olives -- and don't forget the ice cold Keo or Efes beer!"")"
223470,Pita Pocket Bread (Bread Machine),64667,Debber,PT1H20M,PT3M,PT1H23M,2007-04-18T21:12:00Z,"So easy to make your own pita pockets, and even EASIER to do it in the bread machine!  Kids love these for car trips or picnics; can't help but feel adventurous with one of these in the lunch box!   NOTE:  If you don't have a bread machine, you can STILL make this recipe...see DIRECTIONS at the bottom.  COOKING TIME includes rising time","c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/34/70/VGdsrtMS8K88Z01VBaUn_image.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/34/70/FwDqQ4BSECzn2M12pVIw_Pitas.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/34/70/picaiwiS9.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/34/70/picptn9c7.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/34/70/picqSr8ob.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/22/34/70/picyPDuXk.jpg"")",Yeast Breads,"c(""Breads"", ""Lunch/Snacks"", ""Grains"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Kid Friendly"", ""Camping"", ""Bread Machine"", ""Beginner Cook"", ""Small Appliance"", ""< 4 Hours"", ""Easy"", ""Inexpensive"")","c(""1 1/3"", ""2"", ""1"", ""1 1/4"", ""2"", ""1 1/3"", ""2 1/2"")","c(""warm water"", ""olive oil"", ""sugar"", ""salt"", ""white flour"", ""whole wheat flour"")",5.0,19.0,176.9,3.3,0.5,0.0,293.2,32.3,2.8,1.4,5.2,10.0,10 pockets,"c(""Place the above ingredients into the bread machine according to owner's manual specifications (mine does wet ingredients first)."", ""Program for DOUGH or MANUAL."", ""After the program is completed, divide dough into 10 equal pieces; shape each into a smooth ball; place five on each baking sheet."", ""Let rise for 20 minutes while oven preheats to 500; flatten puffy balls gently into a 6-inch disk."", ""Bake for five minutes (tops will be puffed and beginning to brown)."", ""Cut each circle in half to form two pockets."", 
""Fill with your favorite sandwich fixin's:  ham, turkey, chicken salad, lettuce, sprouts, cheese and grapes."", ""TRADITIONAL BREAD-MAKING:  In a mixing bowl, mix water, sugar and yeast; allow to foam for 3-5 minutes; add oil and salt, mixing well; mix white & wholewheat flours together in a separate bowl, then add to liquids, mixing until well-blended.   Place dough-ball in a well-greased bowl, allow to rise in a warm spot until doubled in volume.  Continue from Step #3 above."")"
387489,Dairy Free Rice Pudding,593927,UmmBinat,PT25M,PT10M,PT35M,2009-08-27T14:07:00Z,"This is a lovely lightly sweet Mediterranean dessert which can be also eaten for breakfast. We especially enjoy this during Ramadan. Though it's not traditional rice milk is used rather than regular milk and works well but feel free to use dairy if you so wish. This is my adaption of Recipe #326287. I hope you enjoy it as much as we do. 

HELPFUL HINTS: 

Add sugar after the rice powder mixture has been stirred, boiled and thickened for at least 10 minutes.

At the end, you may wish to place the saucepan in cold water and beat the mixture for a few minutes before pouring into small dishes.",character(0),Breakfast,"c(""Dessert"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""Asian"", ""European"", ""Lactose Free"", ""Egg Free"", ""Free Of..."", ""Ramadan"", ""Weeknight"", ""< 60 Mins"")","c(""4"", ""1/4"", ""1"", ""1 1/2"", ""1/2"", NA)","c(""white sugar"", ""white sugar"", ""pistachios"")",5.0,1.0,265.7,0.6,0.1,0.0,0.3,63.0,0.9,31.3,2.4,2.0,2,"c(""In a basin or a large bowl, mix rice powder into a paste with a little rice milk taken from the 4 cups."", ""Heat remaining rice milk to almost boiling point and pour onto the rice paste, stirring well."", ""Return the mix to the saucepan and add orange blossom flower water and bring to boil over gentle heat while ***stirring continuously***."", ""Once the mixture starts bubbling, reduce the heat and continue stirring continuously for another 5-10 minutes more. The continuous stirring makes sure it doesn't lump."", 
""Add sugar and keep stirring until it dissolves completely."", ""If the mixture becomes too thick dilute with a little milk or water."", ""Pour the creamy mixture into small bowls or a one large shallow dish approximately ½ï¿½ deep."", ""Decorate the pudding top with pistachios and almonds if desired."", ""Enjoy warm as I prefer or may be chilled."")"
26966,Torshi Lift,29291,Angela Sara,PT10M,PT15M,PT25M,2002-04-30T21:47:00Z,"Of all the pickles prepared in the Middle East-and there are many of them - this is one of the most spectacular looking. A delight to serve with grilled and roasted meats. Be patient and resist the temptation to open the jar before they are ready! Once opened they will keep for 4-6 weeks in a cool place, if they last that long! From a favourite book The Complete Meze Table.","""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/96/6/picCBdIb4.jpg""",Vegetable,"c(""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""Healthy"", ""Spicy"", ""Ramadan"", ""< 30 Mins"", ""For Large Groups"", ""Canning"", ""Stove Top"", ""Inexpensive"")","c(""1 1/4"", ""9"", ""4"", ""4"", ""4 1/2"", ""3 3/4"", ""1 1/2"")","c(""turnips"", ""beetroots"", ""dates"", ""garlic"", ""salt"", ""water"", ""white vinegar"")",5.0,1.0,18.2,0.1,0.0,0.0,1600.4,3.5,0.8,2.2,0.5,20.0,4 half liter kilner pickling jars,"c(""Peel the turnips and cut in half."", ""Peel the beetroot and slice thinly."", ""Pack the turnips into sterilised jars alternating with layers of the beetroot, garlic and dates."", ""Bring the water and the salt to boil and then add the vinegar."", ""Pour over the vegetables making sure they are completely covered by the liquid."", ""If there is not quite enough liquid add a little more vinegar and brine."", ""Seal the jars and leave in the kitchen."", ""Ready to eat in 10-12 days."")"
416817,Low Fat Turkish Meatballs,1525103,Lismarie,PT30M,PT15M,PT45M,2010-03-16T09:25:00Z,Great served over couscous or brown rice.  All of the spices in the meatballs make the ground turkey far from bland.,character(0),Poultry,"c(""Meat"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Weeknight"", ""< 60 Mins"")","c(NA, ""1"", ""1/3"", ""1/4"", ""1/4"", ""1/2"", ""1/4"", ""1/2"", ""1/4"", ""1/4"", ""1/4"", ""1"", ""2"", ""1"", ""1/3"", ""1/4"")","c(""olive oil flavored cooking spray"", ""lean ground turkey"", ""onion"", ""celery rib"", ""flat leaf parsley"", ""ground cinnamon"", ""ground allspice"", ""ground turmeric"", ""fresh ground pepper"", ""onion"", ""garlic cloves"", ""no-salt-added tomato sauce"", ""dry red wine"", ""crushed red pepper flakes"")",5.0,1.0,257.6,9.4,2.5,78.2,136.4,15.0,2.2,5.1,25.0,4.0,16 meatballs,"c(""Preheat over to 400 degrees F.  Lightly spray a baking rack with olive oil spray and place over a large baking sheet, leaving space between the baking rack and the baking sheet so fat can drain off."", ""In a large bowl, stir together the turkey, broth, bread crumbs, 1/4 cup onion, celery, parsley, cinnamon, allspice, turmeric, and pepper until just mixed.  Shape into 16 balls and place on rack."", ""Bake for 12-15 minutes or until light golden, turning meatballs halfway through cooking time, to brown all sides.  Remove from oven and place meatballs on a large plate lined in paper towels."", 
""Spray a large non-stick skillet with olive oil spray.  Heat pan over medium- high heat.  Cook sliced onion and garlic for 3-4 minutes until soft."", ""Stir in remaining ingredients increase heat to medium-high and bring to a boil.  Gently add the meatballs, spooning sauce over the meatballs.  Reduce heat and simmer, covered, for 10-12 minutes or until meatballs are cooked through, turning meatballs halfway through cooking and spooning sauce over meatballs after turning."", ""Remove from heat and serve over couscous or brown rice.""
)"
