RecipeId,Name,AuthorId,AuthorName,CookTime,PrepTime,TotalTime,DatePublished,Description,Images,RecipeCategory,Keywords,RecipeIngredientQuantities,RecipeIngredientParts,AggregatedRating,ReviewCount,Calories,FatContent,SaturatedFatContent,CholesterolContent,SodiumContent,CarbohydrateContent,FiberContent,SugarContent,ProteinContent,RecipeServings,RecipeYield,RecipeInstructions
316,Dolmades with Yogurt-Mint Sauce,1554,Jacques Lorrain,PT1H31M,PT1H50M,PT3H21M,1999-09-05T20:08:00Z,Make and share this Dolmades with Yogurt-Mint Sauce recipe from Food.com.,character(0),White Rice,"c(""Long Grain Rice"", ""Rice"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""Asian"", ""European"", ""Low Cholesterol"", ""Weeknight"", ""< 4 Hours"")","c(""1/4"", ""3"", ""1"", ""3"", ""1"", ""1 1/2"", ""4"", ""1/3"", ""1/3"", ""1/3"", ""1/4"", ""1"", ""1"", ""1/4"", ""1"", NA)","c(""olive oil"", ""olive oil"", ""onion"", ""garlic"", ""long grain white rice"", ""cumin"", ""canned chicken broth"", ""currants"", ""pine nuts"", ""fresh parsley"", ""of fresh mint"", ""grape leaves"", ""plain yogurt"", ""of fresh mint"", ""garlic"", ""lemon wedge"")",4.0,5.0,89.0,5.0,0.8,1.4,432.3,8.6,0.4,1.8,3.0,,30 pieces,"c(""FOR GRAPE LEAVES:"", ""Heat 1/4 cup oil in heavy medium saucepan over medium low heat. Add  onion and garlic. Saute until very tender, about 10 minutes."", ""Add  rice and cumin and stir 1 minute. Add 2 cups broth and currants."", ""Cover and simmer until rice is tender and liquid is absorbed, about  20 minutes."", ""Transfer to bowl."", ""Mix in nuts, parsley and mint. Season  with salt and pepper."", ""Cool completely."", ""(Can be made I day ahead. Cover; chill.)"", ""Place grape leaves in bowl."", ""Cover with cold water and let stand 30  minutes."", 
""Drain."", ""(Cut off stems."", ""Arrange 1 leaf veined side up on  work surface. Place 1 rounded Tbsp of rice filling on stem end,  leaving 1/2-inch border."", ""Fold 2 short sides over rice, then roll up  starting at stem end."", ""Repeat with remaining leaves and filling."", ""Place seam in side down in 2 heavy 12-inch skillets."", ""Divide  remaining 3 Tbsp oil and 2 cups broth between skillets."", ""Cover;  simmer over medium-low heat until liquid is absorbed, about 30  minutes."", ""Uncover and let rolls cool."", 
""Transfer to platter."", ""Cover and  chill."", ""(Can be made 1 day ahead.)   FOR SAUCE:  Combine yogurt, mint, and garlic in small bowl."", ""Season to taste with  salt and pepper."", ""Place grape leaf rolls on platter and garnish with lemon."", ""Serve with  sauce.  These rice-filled grape leaves are a classic Greek appetizer."")"
2663,Turkish Spinach and Lentil Soup,1530,Carole Reu,,PT0S,PT0S,1999-08-15T07:22:00Z,Make and share this Turkish Spinach and Lentil Soup recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/63/Eup3L2MCSjXYS6m3MF4j_Turkish%20Spinach%20and%20Lentil%20Soup.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/26/63/pic21yPcq.jpg"")",Lentil,"c(""Beans"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""< 15 Mins"")","c(""1"", ""5"", ""1"", ""1/4"", ""2"", ""1/4"", ""2"", ""1/2"", ""1/4"", ""2"", ""1/4"", ""1"", NA, ""2"", NA)","c(""lentils"", ""nonfat beef broth"", ""salt"", ""olive oil"", ""onions"", ""cayenne"", ""bay leaves"", ""bulgur"", ""fresh parsley"", ""tomatoes"", ""tomato paste"", ""dried rosemary"", ""spinach"", ""parsley"")",5.0,25.0,151.8,7.2,1.0,0.0,368.3,19.1,5.4,4.4,4.8,8.0,,"c(""Rinse the lentils."", ""Bring them to a boil in the beef broth."", ""Reduce heat and  simmer, covered, for 40 minutes."", ""Meanwhile, heat the olive oil in a heavy soup  pot.  Saute the onions until translucent.  Add the garlic, cayeene, bay leaves  and bulgur."", ""Stir the mixture on medium heat until the onions and bulgur are  lightly browned."", ""Mix in the parsley and tomatoes."", ""When the tomatoes begin to  give up their juice, gently stir in the tomato paste.  Pour the lentils and  their liquid into the soup pot with the onions and bulgur."", 
""Simmer the soup for  15 minutes."", ""Add the rosemary, salt and pepper to taste.  If the lentils and  bulgur have absorbed too much liquid, add more broth, water or tomato juice.   Remove the bay leaves."", ""Just before serving, stir in the fresh spinach and let  it wilt in the hot soup."", ""Garnish with more fresh parsley."", ""NOTES : Serve this soup with crusty bread."", ""Broil the bread on both sides,  rubbed with a cut garlic clove, and drizzled with olive oil."")"
6614,Hummus Bi Tahina (Turkish Hummus),148316,- Carla -,,PT20M,PT20M,2000-03-06T16:11:00Z,We travel to Turkey every year in April for a holiday.  This recipe is as close as we can get to the hummus we enjoy each year during our stay there.,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/66/14/pic7URkhy.jpg""",Spreads,"c(""Lunch/Snacks"", ""Beans"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Spring"", ""Summer"", ""Brunch"", ""< 30 Mins"")","c(""200"", ""1/3"", ""3"", ""100"", ""2"", NA, NA, NA, NA)","c(""chickpeas"", ""tahini"", ""olive oil"", ""garlic cloves"", ""olive oil"", ""parsley"")",4.5,22.0,374.5,31.9,4.4,0.0,165.3,19.5,4.2,0.9,6.2,4.0,,"c(""Combine all ingredients (except those for garinsh) in a blender or food processor."", ""Blend into a smooth, creamy paste."", ""Taste and add more lemon juice or salt to suit your taste."", ""It should be the creamy consistency of mashed potatoes."", ""Thin with additional lemon juice, chick pea liquid or water if necessary."", ""Scrape into an attractive looking bowl."", ""Drizzle oil over the surface in a decorative pattern and sprinkle with ground chili pepper and freshly chopped parsley."", ""Serve with wedges of pita bread and raw vegetables.""
)"
8968,Carol's Hummous,9121,Carol Bullock,,PT10M,PT10M,2001-05-11T09:40:00Z,A recipe I learned from two Lebanese friends. This is my family's most requested dish at get-togethers.,character(0),Spreads,"c(""Lunch/Snacks"", ""Beans"", ""Lebanese"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""African"", ""Asian"", ""European"", ""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Kosher"", ""Potluck"", ""< 15 Mins"", ""No Cook"", ""Small Appliance"", ""Easy"")","c(""2"", ""8"", ""1/3"", ""1/3"", ""1"", NA, NA, ""1/4"", NA, NA, NA, NA, NA, NA, NA)","c(""garbanzo beans"", ""garbanzo beans"", ""garlic"", ""fresh lemon juice"", ""tahini"", ""cumin powder"", ""salt"", ""water"", ""pine nuts"", ""paprika"", ""tomatoes"", ""cucumber"", ""parsley"", ""carrot"", ""celery"", ""radish"")",5.0,16.0,252.8,8.1,1.1,0.0,429.9,37.5,7.6,0.4,9.7,6.0,,"c(""Combine all ingredients except water in blender on pulse or puree setting, until smooth."", ""You will need to add boiling hot water during this process as it tends to sieze up."", ""If you accidentally add too much water it's okay as the lemon and tahini tend to suck it up."", ""Transfer to serving plate."", ""Drizzle with extra virgin olive oil or vegetable oil."", ""Serve with Carol's easy pita bread."")"
8970,Carol's Easy Pita Bread,9121,Carol Bullock,PT44M,PT55M,PT1H39M,2001-05-11T09:44:00Z,Make and share this Carol's Easy Pita Bread recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/70/6bQgEKTKu4rkMqY9serA_Photo3491.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/70/picnW69YX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/89/70/picSuegIX.jpg"")",Breads,"c(""Lebanese"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""Egyptian"", ""African"", ""Asian"", ""European"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Potluck"", ""Hanukkah"", ""Weeknight"", ""Oven"", ""< 4 Hours"", ""Easy"")","c(""2"", ""2 1/4"", ""1/2"", ""1 1/4"", ""1  - 1 1/2"")","c(""flour"", ""quick-rising yeast"", ""salt"", ""hot water"", ""flour"")",4.5,22.0,173.9,0.5,0.1,0.0,147.6,36.2,1.5,0.1,5.3,,8 rounds,"c(""Combine first four ingredients in a large bowl."", ""Beat well about 1 minute."", ""Then mix in the remaining flour, using just enough to make a soft, sticky dough."", ""Turn out on floured board and continue to knead for 5 minutes."", ""Divide into 8 balls."", ""Roll out each one to about 1/4 inch thick and 6 inches in diameter."", ""Place on very lightly greased cookie sheet sprinkled with cornmeal (although cornmeal is really not necessary if you don't have it)."", ""Let rise in warm place for 25-35 minutes ."", 
""Bake at 450 for 4 min, and then turn over for 4 more minutes or until lightly browned."", ""Wrap immediately in a dishtowel for 3 or 4 minutes."")"
9268,Baklava,9121,Carol Bullock,PT42M,PT40M,PT1H22M,2001-06-02T10:11:00Z,"Long a delicacy of Greece and the Middle East, this pastry is sure to satisfy the most discriminating taste buds.",character(0),Dessert,"c(""Fruit"", ""Nuts"", ""Lebanese"", ""Turkish"", ""Greek"", ""Southwest Asia (middle East)"", ""Asian"", ""European"", ""Vegan"", ""Weeknight"", ""Oven"", ""Small Appliance"", ""< 4 Hours"")","c(""1"", ""1 1/2"", ""2"", ""1"", ""1"", ""2"", ""1/2"", ""2"")","c(""water"", ""sugar"", ""rose water"", ""phyllo dough"", ""margarine"", ""walnuts"", ""pistachios"", ""sugar"", ""rose water"")",4.5,8.0,242.4,14.5,2.4,0.0,173.5,26.9,1.0,16.2,2.8,,25 pieces,"c(""----------The Syrup----------."", ""Boil the water and sugar for 2 minutes."", ""Add the rose water."", ""Cool and then refrigerate."", ""-----------The Filling--------------."", ""Grind the nuts, sugar and rosewater together in a food processor or blender until of a pasty consistency."", ""------------Assemble-----------."", ""Brush oblong cake pan with melted margarine."", ""Place a sheet of phyllo in the pan, brush with margarine and continue this until you have used half the phyllo and half the margarine."", 
""Sprinkle the filling evenly over the top."", ""Layer the rest of the phyllo and margarine, brushing the top with margarine."", ""Preheat oven to 350°F."", ""Cut 1 inch wide strips to the bottom of the pan, and then cut on the diagonal to make diamond shapes."", ""Bake for 30 minutes, then reduce the heat to 300°F and bake about 10 minutes more, or until golden brown."", ""Re-cut the pieces you have already cut, then pour the syrup over all."", ""The syrup will absorb into the pastry."", ""Let cool at room temperature for several hours before serving.""
)"
9454,Halloumi and Vegetable Kebabs,6357,Charishma_Ramchanda,PT10M,PT15M,PT25M,2001-06-15T10:48:00Z,Make and share this Halloumi and Vegetable Kebabs recipe from Food.com.,character(0),Vegetable,"c(""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""< 30 Mins"")","c(""2"", ""1"", ""3"", ""150"", ""250"", ""12"")","c(""halloumi cheese"", ""red onion"", ""mushrooms"", ""cherry tomatoes"")",5.0,2.0,40.8,0.4,0.1,0.0,7.1,8.3,2.5,5.3,1.9,6.0,,"c(""Cut the cheese into 2 1/2 cm cubes."", ""Cut the onion and peppers into large pieces roughly the same size."", ""Thread the cheese and vegetables onto the skewers."", ""Barbecue or grill for about 10 minutes or until the cheese and vegetables turn golden."", ""Otherwise, marinate the cheese in a mixture of lime, olive oil and corriander for about an hour before cooking."")"
9809,Turkish Spinach,8631,Nye McClelland,PT20M,PT40M,PT1H,2001-06-30T13:09:00Z,Make and share this Turkish Spinach recipe from Food.com.,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/09/picO4bmJB.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/09/piclLakyS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/09/picLGfkCQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/98/09/picQGAeTF.jpg"")",Rice,"c(""Vegetable"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Low Protein"", ""Vegan"", ""Low Cholesterol"", ""Healthy"", ""Kid Friendly"", ""< 60 Mins"", ""Stove Top"", ""Easy"")","c(""1"", ""1"", ""4"", ""1"", ""2 -3"", ""1/2"", NA, ""2"", ""1/2"", ""1/4"")","c(""olive oil"", ""onion"", ""diced tomatoes"", ""lemon"", ""garlic"", ""salt"", ""pepper"", ""fresh spinach"", ""rice"", ""water"")",4.0,7.0,277.8,5.1,0.8,0.0,449.2,52.6,9.7,11.5,11.8,,,"c(""Rinse and wash spinach very well to get all the silt off (I use all the spinach including the roots), it takes about 4-5 washes."", ""In a large pot heat oil, add onions and saute until soft."", ""Add all the ingredients in sequence and bring to a boil."", ""Reduce to low heat and cook until the rice is cooked."", ""Eat as is or add a couple of tbsp of Garlic-Yogurt sauce and enjoy!"", ""Garlic-Yogurt Sauce: 1 cup of plain yogurt 2-4 minced garlic (depending on how much garlic you prefer) salt to taste Method: Combine all the ingredients and serve over your meal.""
)"
9813,Lima Bean (Turkish),8631,Nye McClelland,PT20M,PT20M,PT40M,2001-06-30T13:09:00Z,Make and share this Lima Bean (Turkish) recipe from Food.com.,character(0),Beans,"c(""Vegetable"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""< 60 Mins"", ""Stove Top"", ""Easy"")","c(""1"", ""5 -6"", ""1"", ""1/2"", ""1/8"", ""1/4"", ""2"", ""1"", ""1/2"", ""1"", ""1 -4"", ""1/2"")","c(""lima beans"", ""broad bean"", ""green onions"", ""sugar"", ""salt"", ""olive oil"", ""dill weed"", ""diced tomato"", ""water"", ""yogurt"", ""garlic"", ""salt"")",4.5,3.0,277.2,4.9,2.7,15.9,1117.2,48.7,8.2,17.9,13.4,,,"c(""Heat the oil at a medium to high heat."", ""Then add green onions and saute for a couple of minutes."", ""Add the rest of the ingredients to the pot, bring to a boil and simmer until beans are cooked."", ""Let cool."", ""You could eat them like that or add a yogurt-garlic sauce to it."", ""My family just loves this dish."", ""Serve with rice and you have a full meal!"", ""--------Yogurt Sauce----------."", ""Combine all the ingredients into one bowl and mix well."", ""Scoop and serve."")"
9981,Turkish 'kofte' Sandwich,12192,Bollie,PT15M,PT15M,PT30M,2001-07-05T10:15:00Z,Sandwich with beef meatballs and yoghurt dressing for a nice warm summer evening. In Turkey they use ground lamb for this. But that's optional..,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/pickzufCz.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/pic49e7IN.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/picpGzzlo.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/picZiiSHb.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/pic2NqHHQ.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/pic1ezHfn.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/99/81/pic0a4Q8U.jpg"")",Lunch/Snacks,"c(""Meat"", ""Turkish"", ""Southwest Asia (middle East)"", ""Asian"", ""Low Protein"", ""Low Cholesterol"", ""< 30 Mins"", ""Easy"")","c(""4"", ""2"", ""2"", NA, NA, ""1/2"", NA, NA, NA, ""2"", NA)","c(""ground beef"", ""onions"", ""garlic cloves"", ""parsley"", ""mint"", ""cucumber"", ""olive oil"", ""yoghurt"", ""tomatoes"", ""lettuce"")",5.0,2.0,102.2,4.4,1.7,19.0,24.2,9.8,1.7,4.6,6.6,4.0,,"c(""Chop onions, 1 clove of garlic and parsley."", ""Mix the onions, garlic and parsley with the ground beef and a bit of salt and pepper."", ""With your hands make walnut shaped little meatballs."", ""You can either grill the meatballs, or cook them in some olive oil."", ""In the meantime, mix the yoghurt with garlic and mint."", ""Slice tomatoes, lettuce and cucumber."", ""Now take a turkish bread (flat, round thick bread) cut in 4 squares, open them and 'butter up' the bread with the yoghurt dressing."", ""Put in lettuce tomatoes, cucumbers and meatballs, and finish with some extra yoghurt dressing.""
)"
